gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
30,709;362,217;26,461;113418257;234957;7570932;203;67044
31,248;361,164;30,331;113183300;242206;7540223;236;66841
33,86;357,636;30,11;112941094;274468;7508975;237;66605
30,563;355,015;33,861;112666626;306217;7475115;188;66368
28,37;344,28;25,772;112360409;135057;7444552;196;66180
28,645;348,856;24,217;112225352;187589;7416182;206;65984
30,201;360,115;28,167;112037763;363453;7387537;188;65778
30,019;362,152;32,24;111674310;283112;7357336;217;65590
30,438;358,064;31,413;111391198;312875;7327317;236;65373
29,802;355,564;32,269;111078323;332665;7296879;228;65137
28,81;352,214;33,152;110745658;411865;7267077;248;64909
27,351;348,462;22,004;110333793;173855;7238267;194;64661
27,973;352,162;22,11;110159938;234194;7210916;203;64467
28,873;356,352;26,224;109925744;430131;7182943;210;64264
29,104;357,853;32,119;109495613;283107;7154070;216;64054
29,386;355,442;31,018;109195613;379883;7124966;227;63838
28,892;356,661;30,336;108734111;428209;7095580;239;63611
27,188;353,324;25,16;108305902;465498;7066688;206;63372
25,861;341,221;24,875;107840404;198481;7039500;228;63166
26,145;342,145;19,199;107641923;261628;7013639;193;62938
27,197;355,226;20,458;107380295;486569;6987494;221;62745
27,844;356,132;21,267;106893726;400962;6960297;217;62524
28,168;351,655;23,096;106492764;426502;6932453;242;62307
29,338;354,854;23,361;106066262;455001;6904285;260;62065
27,688;346,435;27,949;105611261;500311;6874947;231;61805
26,398;338,873;27,16;105110950;216856;6847259;213;61574
26,161;335,244;24,023;104894094;300878;6820861;221;61361
27,692;341,854;23,197;104593216;572278;6794700;237;61140
28,118;343,142;32,249;104020938;494127;6767008;262;60903
28,224;341,004;28,536;103526811;525195;6738890;248;60641
27,802;334,535;29,191;103001616;570009;6710666;276;60393
24,613;319,11;26,052;102431607;682949;6682864;231;60117
21,352;310,546;25,616;101748658;293904;6658251;243;59886
22,923;314,046;30,144;101454754;406087;6636899;259;59643
23,562;318,835;35,083;101048667;780742;6613976;214;59384
23,846;314,793;31,322;100267925;685318;6590414;257;59170
23,914;308,437;30,103;99582607;753961;6566568;262;58913
23,638;304,864;34,402;98828646;847051;6542654;274;58651
20,962;301,164;29,327;97981595;868298;6519016;271;58377
19,391;279,063;24,289;97113297;352089;6498054;269;58106
20,033;283,385;19,464;96761208;382825;6478663;278;57837
22,857;304,53;14,527;96378383;813077;6458630;276;57559
23,496;305,047;20,004;95565306;691422;6435773;283;57283
23,946;302,869;15,164;94873884;706330;6412277;290;57000
21,893;297,167;14,106;94167554;849216;6388331;252;56710
19,557;283,25;13,401;93318338;313482;6366438;245;56458
17,332;286,425;11,396;93004856;294482;6346881;255;56213
17,912;290,186;12,175;92710374;319371;6329549;245;55958
18,34;295,647;14,528;92391003;643458;6311637;244;55713
19,616;297,068;15,205;91747545;665998;6293297;257;55469
